EQPT_ID,TIME,FUNC_LIST
P1,1,EP01;EP04
P2,1,EP01;EP04
P3,1,EP01;EP04
CHANG1,1,EP02;EP03;EP05_1;EP05_8;EP06;EP07;EP08;EP09;EP10;EW31;EW32;EW33;EW33_2;EW33_3;EW33_4;EW33_5;EW33_6;EW33_7;EW33_8;EW33_9;EW35_1;EW35_2;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
CHANG2,1,EP02;EP03;EP05_15;EP06;EP07;EP08;EP09;EW31;EW32;EW33;EW33_2;EW33_3;EW33_4;EW33_5;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
CONVE1,1,ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW33_2;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51_#No1;ES51_#No2
CONVE2,1,EP05_5;EP05_12;EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW33_2;EW33_3;EW33_4;EW33_5;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51_#No4;ES51_#No5;ES51_#No11
CONVE3,1,EP05_6;EP05_13;EP05_7;EP05_14;EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW33_2;EW33_3;EW33_4;EW33_5;EW33_6;EW33_7;EW33_8;EW33_9;EW33_10;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51_#No6;ES51_#No7;ES51_#No8;ES51_#No12;ES51_#No13
CONVE4,1,ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW33_2;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
CONVE5,1,ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW33_2;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
UV,1,ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51;EW33
CLEAN,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
IRCP,1,EP05_2;EP05_9;EP05_3;EP05_10;EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
COATE1,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
COATE2,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
HPCP1,1,EP05_4;EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
HPCP2,1,EP05_11;EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
EXPOS1,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
EXPOS2,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
HPCV,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49
DEVEL1,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
DEVEL2,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
OVEN1,1,ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51_#No10
OVEN2,1,ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51_#No15
MACRO1,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
MACRO2,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51
AOI,1,EP06;ER11;ER12;ER13;ER14;ED21;EW31;EW32;EW33;EW35;EW36;EW37;ES45;ES46;ES47;ES48;ES49;ES51


