EQPT_REAL_ID,ALARM_ID,ALARM_LVL,ALARM_DESC,ALARM_STATION,SOLUTION
"STK01","0001","2","緊急停止[EMS]","ASEF3-K11-8F-3450-WIP",
"STK01","0002","2","System Power Off","ASEF3-K11-8F-3450-WIP",
"STK01","0003","2","PLC Not Ready","ASEF3-K11-8F-3450-WIP",
"STK01","0004","2","CDA正壓源1異常","ASEF3-K11-8F-3450-WIP",
"STK01","0005","2","全原點動作逾時","ASEF3-K11-8F-3450-WIP",
"STK01","0006","2","主盤 Safty Relay做動中","ASEF3-K11-8F-3450-WIP",
"STK01","0007","2","CC-Link Error","ASEF3-K11-8F-3450-WIP",
"STK01","0008","2","PLC電池低電量異常","ASEF3-K11-8F-3450-WIP",
"STK01","0009","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0010","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0011","2","緊急停止EMO-1-X308","ASEF3-K11-8F-3450-WIP",
"STK01","0012","2","緊急停止EMO-2-X309","ASEF3-K11-8F-3450-WIP",
"STK01","0013","2","緊急停止EMO-3-X30A","ASEF3-K11-8F-3450-WIP",
"STK01","0014","2","緊急停止EMO-4-X30B","ASEF3-K11-8F-3450-WIP",
"STK01","0015","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0016","2","安全門#1(人員維修口)開啟-X30C","ASEF3-K11-8F-3450-WIP",
"STK01","0017","2","安全門#2開啟-X30D","ASEF3-K11-8F-3450-WIP",
"STK01","0018","2","安全門#3開啟-X30E","ASEF3-K11-8F-3450-WIP",
"STK01","0019","2","安全門#4(人員取出口)開啟-X30F","ASEF3-K11-8F-3450-WIP",
"STK01","0020","2","並批維修門開啟-X40F","ASEF3-K11-8F-3450-WIP",
"STK01","0021","2","INV-1 變頻器異常-出料#01","ASEF3-K11-8F-3450-WIP",
"STK01","0022","2","INV-2 變頻器異常-並批CV#02","ASEF3-K11-8F-3450-WIP",
"STK01","0023","2","INV-3 變頻器異常-並批CV#01","ASEF3-K11-8F-3450-WIP",
"STK01","0024","2","INV-4 變頻器異常-入料#01","ASEF3-K11-8F-3450-WIP",
"STK01","0025","2","INV-5 變頻器異常-","ASEF3-K11-8F-3450-WIP",
"STK01","0026","2","INV-6 變頻器異常-","ASEF3-K11-8F-3450-WIP",
"STK01","0027","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0028","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0029","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0030","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0031","2","人工取出口Slot-1帳料異常-X320","ASEF3-K11-8F-3450-WIP",
"STK01","0032","2","人工取出口Slot-2帳料異常-X321","ASEF3-K11-8F-3450-WIP",
"STK01","0033","2","人工取出口Slot-3帳料異常-X322","ASEF3-K11-8F-3450-WIP",
"STK01","0034","2","人工取出口Slot-4帳料異常-X323","ASEF3-K11-8F-3450-WIP",
"STK01","0035","2","人工取出口Slot-5帳料異常-X324","ASEF3-K11-8F-3450-WIP",
"STK01","0036","2","人工取出口Slot-6帳料異常-X325","ASEF3-K11-8F-3450-WIP",
"STK01","0037","2","人工取出口Slot-7帳料異常-X326","ASEF3-K11-8F-3450-WIP",
"STK01","0038","2","人工取出口Slot-8帳料異常-X327","ASEF3-K11-8F-3450-WIP",
"STK01","0039","2","人工取出口Slot-9帳料異常-X328","ASEF3-K11-8F-3450-WIP",
"STK01","0040","2","人工取出口Slot-10帳料異常-X329","ASEF3-K11-8F-3450-WIP",
"STK01","0041","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0042","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0043","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0044","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0045","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0046","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0047","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0048","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0049","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0050","2","MS16-1_軸1 X軸未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0051","2","MS16-1_軸2 Y軸未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0052","2","MS16-1_軸3 R軸未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0053","2","MS16-1_軸4 手臂1未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0054","2","MS16-1_軸5 手臂2未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0055","2","MS16-1_軸6 並批升降未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0056","2","MS16-1_軸7 並批棒未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0057","2","MS16-1_軸8 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0058","2","MS16-1_軸9 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0059","2","MS16-1_軸10 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0060","2","MS16-1_軸11 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0061","2","MS16-1_軸12 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0062","2","MS16-1_軸13 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0063","2","MS16-1_軸14 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0064","2","MS16-1_軸15 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0065","2","MS16-1_軸16 未原點","ASEF3-K11-8F-3450-WIP",
"STK01","0066","2","MS16-1_軸1 X軸正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0067","2","MS16-1_軸2 Y軸正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0068","2","MS16-1_軸3 R軸正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0069","2","MS16-1_軸4 手臂1正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0070","2","MS16-1_軸5 手臂2正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0071","2","MS16-1_軸6 並批升降正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0072","2","MS16-1_軸7 並批棒正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0073","2","MS16-1_軸8 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0074","2","MS16-1_軸9 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0075","2","MS16-1_軸10 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0076","2","MS16-1_軸11 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0077","2","MS16-1_軸12 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0078","2","MS16-1_軸13 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0079","2","MS16-1_軸14 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0080","2","MS16-1_軸15 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0081","2","MS16-1_軸16 正負極限異常","ASEF3-K11-8F-3450-WIP",
"STK01","0082","2","MS16-1_軸1 X軸有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0083","2","MS16-1_軸2 Y軸有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0084","2","MS16-1_軸3 R軸有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0085","2","MS16-1_軸4 手臂1有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0086","2","MS16-1_軸5 手臂2有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0087","2","MS16-1_軸6 並批升降有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0088","2","MS16-1_軸7 並批棒有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0089","2","MS16-1_軸8 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0090","2","MS16-1_軸9 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0091","2","MS16-1_軸10 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0092","2","MS16-1_軸11 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0093","2","MS16-1_軸12 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0094","2","MS16-1_軸13 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0095","2","MS16-1_軸14 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0096","2","MS16-1_軸15 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0097","2","MS16-1_軸16 有異常碼","ASEF3-K11-8F-3450-WIP",
"STK01","0098","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0099","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0100","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0101","2","Crane升降軸取物端-1位置異常-X330","ASEF3-K11-8F-3450-WIP",
"STK01","0102","2","Crane升降軸取物端-2位置異常-X331","ASEF3-K11-8F-3450-WIP",
"STK01","0103","2","Crane旋轉軸左側端位置異常-X332","ASEF3-K11-8F-3450-WIP",
"STK01","0104","2","Crane旋轉軸右側端位置異常-X333","ASEF3-K11-8F-3450-WIP",
"STK01","0105","2","Crane橫移軸入料取物端位置異常-X3","ASEF3-K11-8F-3450-WIP",
"STK01","0106","2","Crane橫移軸待命端位置異常-X335","ASEF3-K11-8F-3450-WIP",
"STK01","0107","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0108","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0109","2","","ASEF3-K11-8F-3450-WIP",
"STK01","0110","2","ARM1 在荷檢異常-X340","ASEF3-K11-8F-3450-WIP",
"STK01","0111","2","ARM1 二重檢異常-X341","ASEF3-K11-8F-3450-WIP",
"STK01","0112","2","ARM1 產品突出檢大MG異常-X342","ASEF3-K11-8F-3450-WIP",
"STK01","0113","2","ARM1 產品突出檢小MG異常-X343","ASEF3-K11-8F-3450-WIP",
