IND_ID,EQPT_NAME,EQPT_ID
PRN6,CHANG1,PRN6-CHANG1
PRN6,CONVE1,PRN6-CONVE1
PRN6,UV,PRN6-UV
PRN6,CLEAN,PRN6-CLEAN
PRN6,IRCP,PRN6-IRCP
PRN6,COATE1,PRN6-COATE1
PRN6,COATE2,PRN6-COATE2
PRN6,HPCP1,PRN6-HPCP1
PRN6,HPCP2,PRN6-HPCP2
PRN6,EXPOS1,PRN6-EXPOS1
PRN6,EXPOS2,PRN6-EXPOS2
PRN6,HPCV,PRN6-HPCV
PRN6,CONVE2,PRN6-CONVE2
PRN6,DEVEL1,PRN6-DEVEL1
PRN6,DEVEL2,PRN6-DEVEL2
PRN6,CONVE3,PRN6-CONVE3
PRN6,CHANG2,PRN6-CHANG2
PRN6,OVEN1,PRN6-OVEN1
PRN6,MACRO1,PRN6-MARCO1
PRN6,CONVE4,PRN6-CONVE4
PRN6,AOI,PRN6-AOI
PRN6,OVEN2,PRN6-OVEN2
PRN6,MACRO2,PRN6-MARCO2
PRN6,CONVE5,PRN6-CONVE5
