PORT_ID,CIM_EQ_ID,READER_ID,READER_ID_UPPER,DEVICE_ID,INDEX,DESCRIPTION
IP01,ASEF3-K11-8F-3450-ROBOT1,ASEF3-K11-8F-3450-READER01,,ASEF3-K11-8F-3450-CONVEYOR,01,3670Loader1
IP02,ASEF3-K11-8F-3450-ROBOT2,ASEF3-K11-8F-3450-READER02,,ASEF3-K11-8F-3450-CONVEYOR,02,3670Loader2
IP03,ASEF3-K11-8F-3450-UDLOADER1,,,ASEF3-K11-8F-3450-ROBOT3,01,3800Unloader1
IP04,ASEF3-K11-8F-3450-UDLOADER1,,,ASEF3-K11-8F-3450-ROBOT3,01,3800Unloader1
IP05,ASEF3-K11-8F-3450-LOADER,ASEF3-K11-8F-3450-READER04,,ASEF3-K11-8F-3450-CONVEYOR,,ManualLoader
IP06,ASEF3-K11-8F-3450-LOADREJECT,,,ASEF3-K11-8F-3450-CONVEYOR,,ManualReject
IP07,ASEF3-K11-8F-3450-ROBOT5,,,ASEF3-K11-8F-3450-CONVEYOR,,ToolUnloader
IP08,ASEF3-K11-8F-3450-ROBOT6,,,ASEF3-K11-8F-3450-CONVEYOR,,ToolUnloader
IP09,ASEF3-K11-8F-3450-READER06,ASEF3-K11-8F-3450-READER06,,ASEF3-K11-8F-3450-CONVEYOR,,ToolLoader
IP10,ASEF3-K11-8F-3450-WIP_MA_001,,,ASEF3-K11-8F-3450-ROBOT3,,WIPAMerge1
IP11,ASEF3-K11-8F-3450-WIP_MA_002,,,ASEF3-K11-8F-3450-ROBOT3,,WIPAMerge2
IP12,ASEF3-K11-8F-3450-CONVEYOR,,,ASEF3-K11-8F-3450-ROBOT3,,Stocker1Out
IP13,ASEF3-K11-8F-3450-CONVEYOR,,,ASEF3-K11-8F-3450-ROBOT3,,Stocker1In
IP14,ASEF3-K11-8F-3450-WIP_MD_001,,,ASEF3-K11-8F-3450-ROBOT4,,WIPDMerge1
IP15,ASEF3-K11-8F-3450-WIP_MD_002,,,ASEF3-K11-8F-3450-ROBOT4,,WIPDMerge1
IP16,ASEF3-K11-8F-3450-CONVEYOR,,,ASEF3-K11-8F-3450-ROBOT4,,Stocker2Out
IP17,ASEF3-K11-8F-3450-CONVEYOR,,,ASEF3-K11-8F-3450-ROBOT4,,Stocker2In
IP18,ASEF3-K11-8F-3450-UDLOADER2,,,ASEF3-K11-8F-3450-ROBOT4,01,3800Unloader2
IP19,ASEF3-K11-8F-3450-UDLOADER2,,,ASEF3-K11-8F-3450-ROBOT4,01,3800Unloader2
EQ01,ASEF3-K11-8F-3450-311,ASEF3-K11-8F-3450-311_READER02,ASEF3-K11-8F-3450-311_READER01,ASEF3-K11-8F-3450-311_ROBOT,03,EQ311
EQ02,ASEF3-K11-8F-3450-313,ASEF3-K11-8F-3450-313_READER02,ASEF3-K11-8F-3450-313_READER01,ASEF3-K11-8F-3450-313_ROBOT,04,EQ313
EQ03,ASEF3-K11-8F-3450-316,ASEF3-K11-8F-3450-316_READER02,ASEF3-K11-8F-3450-316_READER01,ASEF3-K11-8F-3450-316_ROBOT,05,EQ316
EQ04,ASEF3-K11-8F-3450-C07,ASEF3-K11-8F-3450-C07_READER02,ASEF3-K11-8F-3450-C07_READER01,ASEF3-K11-8F-3450-C07_ROBOT,08,EQC07
EQ05,ASEF3-K11-8F-3450-314,ASEF3-K11-8F-3450-314_READER02,ASEF3-K11-8F-3450-314_READER01,ASEF3-K11-8F-3450-314_ROBOT,07,EQ314
EQ06,ASEF3-K11-8F-3450-312,ASEF3-K11-8F-3450-312_READER02,ASEF3-K11-8F-3450-312_READER01,ASEF3-K11-8F-3450-312_ROBOT,06,EQ312
EG01,,,,,,EQGroup
PG01,,,,,,ToolingPortGroup
CR01,ASEF3-K11-8F-3450-ROBOT3,,,ASEF3-K11-8F-3450-ROBOT3,,Stocker1Crane
CR02,ASEF3-K11-8F-3450-ROBOT4,,,ASEF3-K11-8F-3450-ROBOT4,,Stocker2Crane
CV01,ASEF3-K11-8F-3450-CONVEYOR,,,ASEF3-K11-8F-3450-CONVEYOR,,CV
RB01,ASEF3-K11-8F-3450-311_ROBOT,,,ASEF3-K11-8F-3450-311_ROBOT,,311Robot
RB02,ASEF3-K11-8F-3450-313_ROBOT,,,ASEF3-K11-8F-3450-313_ROBOT,,313Robot
RB03,ASEF3-K11-8F-3450-316_ROBOT,,,ASEF3-K11-8F-3450-316_ROBOT,,316Robot
RB04,ASEF3-K11-8F-3450-C07_ROBOT,,,ASEF3-K11-8F-3450-C07_ROBOT,,C07Robot
RB05,ASEF3-K11-8F-3450-314_ROBOT,,,ASEF3-K11-8F-3450-314_ROBOT,,314Robot
RB06,ASEF3-K11-8F-3450-312_ROBOT,,,ASEF3-K11-8F-3450-312_ROBOT,,312Robot
RB07,ASEF3-K11-8F-3450-ROBOT5,,,ASEF3-K11-8F-3450-ROBOT5,,ToolRobot1
RB08,ASEF3-K11-8F-3450-ROBOT6,,,ASEF3-K11-8F-3450-ROBOT6,,ToolRobot2
MA01,ASEF3-K11-8F-3450-WIPREJECT_A_01,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA02,ASEF3-K11-8F-3450-WIPREJECT_A_02,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA03,ASEF3-K11-8F-3450-WIPREJECT_A_03,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA04,ASEF3-K11-8F-3450-WIPREJECT_A_04,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA05,ASEF3-K11-8F-3450-WIPREJECT_A_05,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA06,ASEF3-K11-8F-3450-WIPREJECT_A_06,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA07,ASEF3-K11-8F-3450-WIPREJECT_A_07,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
MA08,ASEF3-K11-8F-3450-WIPREJECT_A_08,,,ASEF3-K11-8F-3450-ROBOT3,02,WIPAReject
