EQPT_ID,POSITION,UNIT_ID,SLOT_NO,GLASS_ID,DESCRIPTION
PRN6-CONVE1,1,B101,1,,
PRN6-CONVE1,2,B110,1,,
PRN6-CONVE1,3,B111,1,,
PRN6-CONVE1,4,B112,1,,
PRN6-CONVE1,5,B113,1,,
PRN6-CONVE1,6,B114,1,,
PRN6-CONVE1,7,B115,1,,
PRN6-CONVE1,8,B102,1,,
PRN6-CONVE1,9,B103,1,,
PRN6-CONVE1,10,B104,1,,
PRN6-CONVE1,11,B105,1,,
PRN6-CONVE1,12,B106,1,,
PRN6-CONVE1,13,B107,1,,
PRN6-CONVE1,14,B108,1,,
PRN6-CONVE1,15,B116,1,,
PRN6-UV,16,UV,1,,
PRN6-UV,17,UV,2,,
PRN6-CLEAN,18,Movein zone,1,,
PRN6-CLEAN,19,Purewater brush zone,1,,
PRN6-CLEAN,20,shower zone,1,,
PRN6-CLEAN,21,airknife zone,1,,
PRN6-CLEAN,22,,,,
PRN6-IRCP,23,IR,1,,
PRN6-IRCP,24,IR,2,,
PRN6-IRCP,25,IR,3,,
PRN6-IRCP,26,IR,4,,
PRN6-IRCP,27,CV1,1,,
PRN6-IRCP,28,CV2,1,,
PRN6-IRCP,29,CV3,1,,
PRN6-IRCP,30,LIFT-A,1,,
PRN6-IRCP,31,robot -A,1,,
PRN6-IRCP,32,CP-A1,1,,
PRN6-IRCP,33,CP-A2,1,,
PRN6-IRCP,34,LIFT-B,1,,
PRN6-IRCP,35,robot -B,1,,
PRN6-IRCP,36,CP-B1,1,,
PRN6-IRCP,37,CP-B2,1,,
PRN6-COATE1,38,robot1,,,
PRN6-COATE1,39,,,,
PRN6-COATE1,40,D/C,1,,
PRN6-COATE1,41,VCD,1,,
PRN6-COATE1,42,,2,,
PRN6-COATE2,54,robot1,,,
PRN6-COATE2,55,,,,
PRN6-COATE2,56,D/C,,,
PRN6-COATE2,57,VCD,1,,
PRN6-COATE2,58,,2,,
PRN6-HPCP1,43,robot1,,,
PRN6-HPCP1,44,,,,
PRN6-HPCP1,45,HP,1,,
PRN6-HPCP1,46,HP,2,,
PRN6-HPCP1,47,HP,3,,
PRN6-HPCP1,48,HP,4,,
PRN6-HPCP1,49,CP,1,,
PRN6-HPCP1,50,CP,2,,
PRN6-HPCP1,51,turn,1,,
PRN6-HPCP1,52,robot2,,,
PRN6-HPCP1,53,,,,
PRN6-HPCP2,54,robot1,,,
PRN6-HPCP2,55,,,,
PRN6-HPCP2,56,HP,1,,
PRN6-HPCP2,57,HP,2,,
PRN6-HPCP2,58,HP,3,,
PRN6-HPCP2,59,HP,4,,
PRN6-HPCP2,60,CP,1,,
PRN6-HPCP2,61,CP,2,,
PRN6-HPCP2,62,turn,1,,
PRN6-HPCP2,63,robot2,,,
