CODE,DESCRIPTION,ACTION
AL001,Empty Retrieve At [{0}].,
AL002,Double Storage At [{0}] Move MG [{1}] To Another Shelf.,
AL003,BCR ID Mismatch For MG ID[{0}] Read MG ID [{1}].,
AL004,BCR Read Failed For MG ID[{0}].,
AM001,Command Not Found Ticket No.[{0}].,
WL001,Command Ticket No.[{0}] Normal Complete, But Target Location[{1}] Not Match Arrive Location[{2}].,
AH001,Host Command [{0}] MG ID Is Empty.,
AH002,Host Command [{0}] MG ID [{1}] Destination Is Empty.,
AH003,Host Command [{0}] MG ID [{1}] Destination Error [{2}].,
AH004,Host Command [{0}] MG ID [{1}] Not Exist.,
PN000,Success.,
PN040,Other Error.,
PE041,Input Equipment ID Error.,
PE042,Input Status Error.,
PE043,Status Error.,
PE044,Already On/Off Line.,
PE045,Has Command.,
PE046,Other Error.,
PE051,MG Type Error.,
PE052,Other Error.,
PE061,MG Type Is Empty.,
PE062,Other Error.,
PE071,MG ID Is Empty.,
PE072,Location Is Empty.,
PE073,MG Not Exist.,
PE074,MG Has Command.,
PE075,MG Not In Stocker.,
PE076,MG Wait For Kick Out.,
PE078,Other Error.,
PE081,Input Stocker ID Error.,
PE082,Other Error.,
PE091,MG ID Is Empty.,
PE092,MG Not Exist.,
PE093,MG Has Command.,
PE094,MG Wait For Kick Out.,
PE096,Other Error.,
PE101,Operation Mode Error.,
PE102,Other Error.,
PE111,Stocker ID Error.,
PE112,Action Error.,
PE113,Arm Error.,
PE114,From Is Empty.,
PE115,MG Not Exist.,
PE116,MG Has Command.,
PE117,Crane Cannot Execute New Command.,
PE118,Operation Mode Error.,
PE120,Other Error.,
PE121,Stocker ID Error.,
PE122,Merge Port 1 MG Not Exist.,
PE123,Merge Port 2 MG Not Exist.,
PE124,Other Error.,
PE131,Stocker ID Error.,
PE132,Other Error.,
PE141,PE141,Other Error.,,
PE142,Other Error.,
